"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Capacitance","Voltage","Material","Tolerance","Stock","Datasheet"
"C2181774","50V 3.9pF null 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","3.9pF","symbol:C0402","footprint:C0201","LCSC","C2181774","Murata Electronics","GJM0335C1H3R9BB01D","C0201","3.9pF","50V","null","","8560","https://datasheet.lcsc.com/lcsc/2202041230_Murata-Electronics-GJM0335C1H3R9BB01D_C2181774.pdf"
"C525076","50V 27pF C0G ±15% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","27pF","symbol:C0402","footprint:C0201","LCSC","C525076","VIIYONG","V270L0201C0G500NAT","C0201","27pF","50V","C0G","±15%","8300","https://datasheet.lcsc.com/lcsc/2304140030_VIIYONG-V270L0201C0G500NAT_C525076.pdf"
"C327028","16V 5.6nF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","5.6nF","symbol:C0402","footprint:C0201","LCSC","C327028","YAGEO","CC0201KRX7R7BB562","C0201","5.6nF","16V","X7R","±10%","8300","https://datasheet.lcsc.com/lcsc/1811061214_YAGEO-CC0201KRX7R7BB562_C327028.pdf"
"C1855048","50V 1.8pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1.8pF","symbol:C0402","footprint:C0201","LCSC","C1855048","YAGEO","CQ0201BRNPO9BN1R8","C0201","1.8pF","50V","NP0","","8300","https://datasheet.lcsc.com/lcsc/2203301630_YAGEO-CQ0201BRNPO9BN1R8_C1855048.pdf"
"C92749","6.3V 220nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","220nF","symbol:C0402","footprint:C0201","LCSC","C92749","Taiyo Yuden","JMK063BJ224KP-F","C0201","220nF","6.3V","X5R","±10%","8000","https://datasheet.lcsc.com/lcsc/2105241132_Taiyo-Yuden-JMK063BJ224KP-F_C92749.pdf"
"C2168386","25V 10nF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10nF","symbol:C0402","footprint:C0201","LCSC","C2168386","Murata Electronics","GRM033R61E103MA12D","C0201","10nF","25V","X5R","±20%","8300","https://datasheet.lcsc.com/lcsc/2202040300_Murata-Electronics-GRM033R61E103MA12D_C2168386.pdf"
"C1322347","25V 10nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10nF","symbol:C0402","footprint:C0201","LCSC","C1322347","FH (Guangdong Fenghua Advanced Tech)","0201X103K250NT","C0201","10nF","25V","X5R","±10%","8000","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0201X103K250NT_C1322347.pdf"
"C5182413","50V 680pF X7R 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","680pF","symbol:C0402","footprint:C0201","LCSC","C5182413","YAGEO","CC0201JRX7R9BB681","C0201","680pF","50V","X7R","","8300","https://datasheet.lcsc.com/lcsc/2311211121_YAGEO-CC0201JRX7R9BB681_C5182413.pdf"
"C88916","16V 100nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100nF","symbol:C0402","footprint:C0201","LCSC","C88916","Murata Electronics","GRM033R61C104KE14D","C0201","100nF","16V","X5R","±10%","8450","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM033R61C104KE14D_C88916.pdf"
"C513410","50V 2.7pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","2.7pF","symbol:C0402","footprint:C0201","LCSC","C513410","VIIYONG","V2R7C0201C0G500NAT","C0201","2.7pF","50V","C0G","","8200","https://datasheet.lcsc.com/lcsc/2304140030_VIIYONG-V2R7C0201C0G500NAT_C513410.pdf"
