"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Resistance","Power","Tolerance","Stock","Datasheet"
"C25828","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 15kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","15K","symbol:R0402","footprint:R1206","LCSC","C25828","UNI-ROYAL(Uniroyal Elec)","1206W4F1502T5E","C1206","15kΩ","250mW","±1%","45300","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-1206W4F1502T5E_C25828.pdf"
"C205287","250mW Thick Film Resistors ±100ppm/℃ ±1% 30kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","30K","symbol:R0402","footprint:R1206","LCSC","C205287","BOURNS","CR1206-FX-3002ELF","C1206","30kΩ","250mW","±1%","45450","https://datasheet.lcsc.com/lcsc/2304140030_BOURNS-CR1206-FX-3002ELF_C205287.pdf"
"C3013270","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 560Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","560R","symbol:R0402","footprint:R1206","LCSC","C3013270","FOJAN","FRC1206J561 TS","C1206","560Ω","250mW","±5%","44900","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J561-TS_C3013270.pdf"
"C2933709","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 470kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","470K","symbol:R0402","footprint:R1206","LCSC","C2933709","FOJAN","FRC1206F4703TS","C1206","470kΩ","250mW","±1%","44900","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F4703TS_C2933709.pdf"
"C114943","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 22Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","22R","symbol:R0402","footprint:R1206","LCSC","C114943","YAGEO","RC1206FR-0722RL","C1206","22Ω","250mW","±1%","44599","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC1206FR-0722RL_C114943.pdf"
"C3017075","250mW Thick Film Resistors 200V ±1% 130kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","130K","symbol:R0402","footprint:R1206","LCSC","C3017075","VO","SCR1206F130K","C1206","130kΩ","250mW","±1%","44800","https://datasheet.lcsc.com/lcsc/2206021145_VO-SCR1206F130K_C3017075.pdf"
"C2933579","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 110Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","110R","symbol:R0402","footprint:R1206","LCSC","C2933579","FOJAN","FRC1206F1100TS","C1206","110Ω","250mW","±1%","44200","https://datasheet.lcsc.com/lcsc/2308241113_FOJAN-FRC1206F1100TS_C2933579.pdf"
"C2907501","250mW Thick Film Resistors 200V ±5% ±200ppm/℃ 4.7Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","4R7","symbol:R0402","footprint:R1206","LCSC","C2907501","FOJAN","FRC1206J4R7 TS","C1206","4.7Ω","250mW","±5%","43700","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J4R7-TS_C2907501.pdf"
"C304896","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 470kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","470K","symbol:R0402","footprint:R1206","LCSC","C304896","FH (Guangdong Fenghua Advanced Tech)","RS-06K474JT","C1206","470kΩ","250mW","±5%","43500","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-RS-06K474JT_C304896.pdf"
"C2933650","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 2.4kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","2K4","symbol:R0402","footprint:R1206","LCSC","C2933650","FOJAN","FRC1206F2401TS","C1206","2.4kΩ","250mW","±1%","43500","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F2401TS_C2933650.pdf"
